"Grab";"Bestattungsnummer";"Bestattungsbezeichnung";"Bestattungsbeschreibung";"Bestattungsmodus";"Bestattungsausrichtung";"Bestattungserhaltung";"Bestattungslage"
1754;1801;"Brandbestattung";"Mehrere Leichenbrandvorkommen, aber nur ein Individuum nachweisbar: mindestens mitteladult, möglicherweise weiblich";3;9;3;8
1755;1802;"Brandbestattung";"Juveniles oder adultes Individuum";3;9;2;11
1756;1803;"Brandbestattung";"Wenig Leichenbrand, keine Untersuchung [von der Menge her: Kindergrab?]";3;9;2;11
1757;1804;"Primäre Brandbestattung";"Adultes Individuum";3;9;3;9
1758;1805;"Sedundäre Brandbestattung";"Nach Claassen evtl. 2 Individuen (Infans I ??, Fetus/neonatus; Hughes nimmt 1 Individuum an";3;9;3;7
1759;1806;"Skelett 1";"""Infans II (ca. 13 Jahre)"" [das paßt nicht ganz zusammen; wohl eher juvenil]";2;9;3;11
1760;1807;"Primärbestattung";"Wohl Infans I";3;9;3;8
1761;1808;"Sekundärbestattung";"Adultes, männliches Individuum";3;9;2;6
1762;1809;"Brandbestattung";"Adult, möglicherweise weiblich";3;9;2;8
1763;1810;"Körperbestattung";"Menschliche Rippe";2;9;3;11
1765;1811;"Brandbestattung";"Frühadultes Individuum, Zusammengehörigkeit der Leichenbrandvorkommen nicht wirklich gesichert";3;9;2;11
1766;1812;"Skelett 1";"Spätadult, männlich";2;14;3;11
1767;1813;"Skelett 2";"Adultes, weibliches Individuum";2;5;3;11
1768;1814;"Skelett 3";"Ca. 13jähriges Individuum [nach Hughes angeblich infans II, wird hier aber bereits als juvenil gezählt]";2;14;3;11
1769;1815;"Brandbestattung";"Älter als infans I";3;9;3;11
1770;1816;"Brandbestattung";"Zuweisung unklar";3;9;3;11
1771;1817;"Brandbestattung";"Zuweisung unklar";3;9;3;11
1772;1818;"Brandbestattung";"Zusammengehörigkeit aller Leichenbrandfunde unsicher; wenn ja, dann adultes Individuum";3;9;3;11
1773;1819;"Skelett 1";"Adult, männlich";2;6;3;1
1774;1820;"Skelett 2";"Ca. 14jährig";2;9;3;11
1775;1821;"Brandbestattung";"Älter als infans II";3;9;2;8
1776;1822;"Brandbestattung?";"Keine Reste erhalten";3;9;4;11
1777;1823;"Skelett 1";"Schädelknochen, infans I";2;5;3;11
1778;1824;"Brandbestattung";"0-1jähriges Individuum";3;9;2;2
1779;1825;"Skelett 1";"Ca. 7jähriges Individuum";2;6;1;8
1780;1826;"Brandbestattung";"Ca. 1jähriges Individuum";3;5;2;8
1781;1827;"Brandbestattung";"Genaue Zuweisung nicht möglich";3;9;3;11
1782;1828;"Brandbestattung";"Genaue Zuweisung nicht möglich";3;9;3;11
1783;1829;"Brandbestattung";"Wohl adult, möglicherweise männlich";3;9;3;11
1784;1830;"Brandbestattung";"Ca. 11jähriges Individuum";3;9;3;11
1785;1831;"Skelett 1";"Frühmatures, männliches Individuum";2;5;3;1
1786;1832;"Brandbestattung 1";"Mittel- bis spätadultes, wahrscheinlich männliches Individuum";3;9;3;11
1787;1833;"Brandbestattung 2";"Ca. 1-2jähriges Individuum";3;9;3;1
1788;1834;"Brandbestattung 3";"Ca. 7-8jähriges Individuum";3;9;3;11
1789;1835;"Skelett 1";"Frühadult, männlich";2;9;3;11
1790;1836;"Skelett 4";"Schädelteile eines ca. 8jährigen Individuums";2;9;3;11
1791;1837;"Skelett 5";"Ca. 12jähriges Individuum";2;5;2;11
1792;1838;"Skelett 6";"Ca. 7jähriges Individuum";2;5;2;11
1793;1839;"Skelett 2";"Adultes, fraglich weibliches Individuum";2;9;3;11
1794;1840;"Skelett 3";"Ca. 8jähriges Individuum";2;5;2;11
1795;1841;"Brandbestattung";"ca. 6-7jähriges Individuum";3;9;1;11
1796;1842;"Brandbestattung I";"Wohl adultes, eventuell weibliches Individuum";3;9;2;11
1796;1843;"Brandbestattung II";"Ca. 4-6jähriges Individuum";3;9;2;11
1798;1844;"Brandbestattung 1";"Mindestens mittaladultes, wahrscheinlich weibliches Individuum";3;9;1;11
1798;1845;"Brandbestattung 2";"Infans II";3;9;2;11
1800;1846;"Brandbestattung";"Matures, männliches Individuum";3;9;1;11
1801;1847;"Brandbestattung";"Ca. 45-55jähriges, männliches Individuum";3;9;1;11
1802;1848;"Brandbestattung";"Adultes, eventuell weibliches Individuum";3;9;1;11
1803;1849;"Brandgrab";"Wohl infans I";3;9;1;11
1804;1850;"Brandbestattung";"Adult, wohl weiblich";3;9;2;9
1805;1851;"Brandbestattung";"Ca. 2-3jähriges Individuum";3;9;2;8
1806;1852;"Brandbestattung";"Ca. 4-6jähriges Individuum";3;9;3;11
1807;1853;"Brandbestattung";"Älter als Infans I";3;9;2;8
1808;1854;"Brandbestattung";"Wohl adult, wahrscheinlich männlich";3;9;3;11
1809;1855;"Skelett 1";"Frühadultes, männliches Individuum";2;6;2;11
1810;1856;"Skelett 2";"Adultes Individuum";2;6;3;11
1811;1857;"Skelett 3";"Infans I";2;9;3;11
1812;1858;"Skelett 1";"15-16jähriges Individuum";2;5;2;8
1813;1859;"Brandbestattung";"Leichenbrand, nicht bestimmt";3;9;3;2
1814;1860;"Skelett 1";"Mitteladultes, eher männliches Individuum";2;14;2;8
1815;1861;"Brandbestattung";"Adultes, männliches Individuum";3;9;2;11
1816;1862;"Brandbestattung";"Leichenbrand, nicht zuordbar";3;9;3;11
1817;1863;"Brandbestattung";"Wohl adultes Individuum";3;9;1;7
1818;1864;"Brandbestattung";"Infans I";3;9;1;8
1819;1865;"Skelett 1";"Spätadultes, männliches Individuum";2;5;3;8
1820;1866;"Skelett 2";"Adultes, wahrscheinlich weibliches Individuum";2;9;3;11
1821;1867;"Skelett 4";"Adultes, eher weibliches Individuum";2;9;3;11
1822;1868;"Skelett 3";"Wohl adultes, fraglich männliches Individuum";2;9;3;11
1824;1869;"Skelett 1";"Frühmatures, männliches Individuum nach Claassen, nach Paulus senil [hier wird Claassen gefolgt]";2;14;2;8
1825;1870;"Skelett ?";"Körperbestattung; Zuweisung zur Erstbestattung unklar";2;9;3;11
1826;1871;"Brandbestattung";"Frühadultes, eher männliches Individuum nach Claassen, wahrscheinlich erwachsen und eher weibliches nach Paulsen";3;9;2;2
1827;1872;"Skelett 1";"Adult, wahrscheinlich männliches Individuum";2;15;2;1
1828;1873;"Skelett 2";"Wohl adultes Individuum";2;9;3;11
1829;1874;"Skelett 1";"Mitteladultes, männliches Individuum nach Claassen, nach Paulsen adult, weiblich (?)";2;15;1;2
1830;1875;"Brandbestattung";"Älter als Infans I";3;6;3;9
1831;1876;"Brandbestattung";"Älter als Infans II";3;9;3;11
1832;1877;"Brandbestattung";"Ca. 9 Jahre altes Individuum";3;9;2;7
1833;1878;"Brandbestattung";"Leichenbrand, älter als neonatus";3;9;3;9
1834;1879;"Brandbestattung";"Älter als Neonatus";3;9;3;2
1835;1880;"Skelett 2";"Mitteladultes, wahrscheinlich weibliches Individuum";2;14;2;1
1836;1881;"Skelett 1";"Matures, männliches Individuum nach Claassen, senil nach Paulsen";2;6;2;11
1837;1882;"Skelett 1";"Juveniles oder adultes Individuum";2;5;3;11
1838;1883;"Brandbestattung";"Leichenbrand nicht separat bestimmbar; nach Hughes deuten Beigaben auf kindliche Bestattung";3;9;4;3
1839;1884;"Brandbestattung";"Adultes, eher weibliches Individuum";3;9;2;9
1840;1885;"Brandbestattung";"Mittel- bis spätadultes, männliches Individuum";3;9;2;1
1841;1886;"Skelett 2";"Frühadultes, männliches Individuum";2;13;2;11
1842;1887;"Skelett 1";"Mitteladultes, weibliches Indivdiuum";2;5;2;11
1847;1888;"Brandbestattung";"Mindestens spätadultes, männliches Individuum; unsicher, ob wirklich Erstbestattung darstellend";3;9;3;11
1848;1889;"Skelett 1";"Adultes, eher männliches Individuum";2;9;3;11
1849;1890;"Brandbestattung 1";"Wohl frühadultes, weibliches Individuum";3;9;2;8
1849;1891;"Brandbestattung 2";"Anhaltspunkte für ein zweites Individuum, älter als infans II";3;9;3;11
1850;1892;"Skelett 1";"Ca. 7jähriges Individuum";2;9;3;11
1851;1893;"Brandbestattung";"Adult oder Infans II";3;9;2;2
1852;1894;"Brandbestattung";"Infans II oder adultes Individuum";3;9;3;11
1853;1895;"Skelett 2";"Ca. 19jähriges Individuum";2;9;3;11
1854;1896;"Skelett 3";"Adultes, eher männliches Individuum";2;9;3;11
1855;1897;"Skelett 1";"Frühadultes, männliches Individuum; leicht verkrümmt liegend [könnte auch durch Einsturz der darunterliegenden Grabkammer verursacht sein]";2;14;1;11
1856;1898;"Brandbestattung";"Adultes, eher weibliches Individuum";3;9;1;11
1858;1899;"Brandbestattung";"Alter und Geschlecht unbestimmbar";3;9;3;11
1859;1900;"Brandbestattung";"Fetus/Infans I (nach Hughes ehemals mehr Leichenbrand; Teil ist wohl verlorengegangen";3;9;2;11
1860;1901;"Brandbestattung";"Wohl adultes Individuum";3;9;1;1
1862;1902;"Skelett 1";"Ö Skelett; frühmatures, männliches Individuum";2;14;1;4
1862;1903;"Skelett 2";"W Individuum; mitteladultes, männliches Individuum";2;14;1;8
1862;1904;"Skelett 5";"Calcaneus und Femurschaft eines juvenilen oder adulten Individuums; ein Knochen auf Höhe der ""Erstbelegung"" geborgen";2;9;3;11
1863;1905;"Skelett 4";"Ca. 5jähriges Individuum";2;9;3;4
1864;1906;"Skelett 3";"Adult, wahrscheinlich weiblich";2;13;2;4
1865;1907;"Brandgrab";"Adultes, eher weibliches Individuum";3;9;2;11
1866;1908;"Brandbestattung";"20-25jähriges, wohl weibliches Individuum nach Claassen; nach Linhuber infans II";3;9;2;11
1867;1909;"Brandbestattung";"Infans II/juvenil";3;9;3;11
1868;1910;"Brandbestattung";"Adultes/matures Individuum";3;9;3;11
1869;1911;"Brandbestattung";"Adultes Individuum";3;9;3;4
1870;1914;"Skelett 2";"Spätadultes, männliches Individuum;  rechter Arm liegt ausgestreckt unter jüngerer Körpernachbestattung";2;5;2;8
1871;1913;"Skelett 1";"Zuweisung der Knochen zu diesem Individuum unsicher; kleinster gemeinsamer Nenner: erwachsen, wahrscheinlich männlich";2;5;3;1
1872;1912;"Brandbestattung";"Adultes Individuum";3;9;3;11
1873;1915;"Skelett 3";"nach Claassen adult, eher weiblich, nach Paulus juvenil/adult, männlich [da Zugehörigkeit einzelner Knochen unsicher, wird hier kleinster gemeinsamer Nenner genommen]";2;5;3;11
1874;1916;"Skelett 1";"Ca. 4jähriges Individuum";2;6;2;1
1875;1917;"Brandbestattung";"Adultes, wohl weibliches Individuum";3;9;1;11
1876;1918;"Erstbestattung";"Bestattungen vermischt; kleinster gemeinsamer Nenner: adult";2;9;3;11
1877;1919;"Nachbestattung";"Bestattungen vermischt; kleinster gemeinsamer Nenner: adult";2;9;3;11
1878;1920;"Brandbestattung";"Leichenbrandsplitter, älter als neonatus";3;9;3;11
1879;1921;"Brandbestattung?";"Keine Knochenreste, nur Holzkohle";3;9;4;11
1880;1922;"Brandbestattung";"Adultes, männliches Individuum";3;9;1;11
1881;1923;"Brandbestattung";"Älter als infans I";3;9;3;11
1881;1924;"Körperbestattung";"Schädel- und Rippenstücke, infans I";2;9;3;11
1882;1925;"Brandbestattung";"Älter als infans II";3;15;2;8
1883;1926;"Brandbestattung";"Adultes, wahrscheinlich weibliches Individuum";3;9;1;11
1884;1927;"Brandbestattung";"Adultes, eher weibliches Individuum";3;9;1;11
1885;1928;"Skelett 2";"Ca. 4jähriges Individuum [ssö ausgerichtet, mit starker Tendenz nach SO]";2;13;2;1
1886;1929;"Körperbestattung";"Skelettreste, nicht untersucht; Hughes vermutet aufgrund der Keramikgröße Kinderbestattung";2;9;3;11
1887;1930;"Brandbestattung";"Wohl adultes Individuum";3;9;2;9
1888;1931;"Skelett 1";"Adult, eher männlich";2;9;3;5
1889;1932;"Brandbestattung";"nach Claassen älter als infans I, nach Linhuber infans I/II [nach Hughes dann infans II]";3;9;2;9
1891;1933;"Brandbestattung";"Adultes, männliches Individuum";3;9;1;11
1892;1934;"Brandbestattung";"Adultes, eher weibliches Individuum";3;9;1;11
1893;1935;"Brandbestattung";"Adult";3;9;2;11
1894;1936;"Brandbestattung";"Adult";3;9;2;11
1895;1937;"Brandbestattung";"Wohl adult, wahrscheinlich männlich";3;9;2;9
1896;1938;"Brandbestattung";"Adult";3;9;2;1
1897;1939;"Brandbestattung";"Älter als infans II";3;1;2;1
1898;1940;"Brandbestattung";"Adultes, männliches Individuum; Leichenbrand im Gefäß und darüber";3;9;1;11
1899;1941;"Brandbestattung";"Mindestens spätadult, weiblich";3;9;2;11
1900;1942;"Brandbestattung";"Mittel- bis spätadult, eher weiblich";3;5;1;8
1901;1943;"Brandbestattung";"Wohl infans I";3;9;1;9
1902;1944;"Brandbestattung";"Adult";3;6;1;1
1903;1945;"Brandbestattung";"Älter als infans II";3;9;3;2
1904;1946;"Brandbestattung";"Entweder infans I oder frühadult";3;9;3;9
1905;1947;"Brandbestattung";"Infans I oder frühadult";3;9;3;9
1906;1948;"Skelett 1";"Mitteladult, weiblich";2;6;1;9
1907;1949;"Individuum 2";"ca. 5jährig";3;9;2;4
1908;1950;"Individuum 1";"Ca. 2jährig";3;9;2;5
1909;1951;"Brandbestattung";"Juvenil oder adult, eventuell männlich";3;9;2;11
1910;1952;"Brandbestattung";"Adult, weiblich";3;9;1;11
1911;1953;"Brandbestattung";"Älter als infans I";3;9;3;8
1912;1954;"Skelett 2";"Spätadult, männlich";2;5;2;8
1913;1955;"Skelett 1";"Ca. 19jährig";2;5;2;1
1914;1956;"Skelett 3";"Adult, männlich";2;9;3;11
1916;1957;"Brandbestattung";"Adult";3;9;2;11
1917;1958;"Brandbestattung";"Älter als infans I";3;9;2;9
1918;1959;"Brandbestattung";"Wohl matur, männlich";3;9;2;11
1919;1960;"Brandbestattung";"Wohl matur, eher männlich";3;9;2;11
1920;1961;"Brandbestattung";"Ca. 3-5jährig";3;9;2;11
1922;1962;"Brandbestattung";"Ca. 2jährig";3;9;1;11
1923;1963;"Brandbestattung";"Älter als Infans II";3;15;1;8
1925;1968;"Körperbestattung";"Zuweisung zur Nachbestattung unklar";2;9;3;11
1929;1970;"Leichenbrand";"Juvenil/adultes, eher weibliches Individuum";3;9;2;11
1930;1971;"Brandbestattung";"Infans II/juvenil";3;9;1;5
1935;1972;"Brandbestattung";"Unbestimmbarer Leichenbrand";3;9;2;11
1936;1973;"Brandbestattung";"Eher männliches, adultes Individuum, histologisch mindestens 38";3;9;3;11
1937;1974;"Brandbestattung";"Eindruck erwachsen (adult), eher weiblich";3;9;3;11
1941;1975;"Brandbestattung";"Leichenbrand in kleiner Grube und in Kammer ausgestreut; nach A. Cipriano eher männlich, erwachsen, histologisch mindestens 38; nach O. Röhrer-Ertl 2 Individuen: maskulin, frühadult; feminin, frühadult [angesichts der zuweilen unglaubwürdig anmutenden Erg";3;9;2;7
1942;1976;"Brandbestattung";"Sehr kleinstückiger Leichenbrand, nach Cipriano unbestimmbar, nach Röhrer-Ertl maskulin, Infans II";3;9;3;11
1943;1977;"Brandbestattung";"Leichenbrand, in 2 Portionen geborgen; nach Cipriano eher weiblich, jung erwachsen; nach Röhrer-Ertl insgesamt 4 Individuen: feminin, spätadult; maskulin, Inf. II; Inf. II; feminin, Inf. I, 9-12 m. [hier wird Cipriano gefolgt]";3;9;3;11
1945;1978;"Brandbestattung";"Leichenbrand, Eindruck adult, sicher kein Kind, eher weiblich";3;9;2;1
1946;1979;"Brandbestattung";"Leichenbrand, derzeit nicht auffindbar";3;9;1;1
1947;1980;"Brandbestattung";"Leichenbrand, unbestimmt";3;9;3;7
1948;1981;"Brandbestattung";"Leichenbrand, nicht auffindbar";3;9;1;8
1949;1982;"Brandbestattung";"Leichenbrand, nicht bestimmbar";3;9;2;7
1950;1983;"Brandbestattung";"Leichenbrand nicht auffindbar";3;9;2;11
1951;1984;"Körperbestattung";"Nur von Hüfte abwärts erhaltenes Skelett; derzeit nicht auffindbar; nach Beinlänge wohl mindestens juvenil";2;14;3;9
1952;1985;"Brandbestattung";"Leichenbrandpartikel, unbestimmt";3;9;3;11
1955;1986;"Brandbestattung";"Leichenbrand, nicht auffindbar";3;9;2;1
1958;1987;"Brandbestattung";"Leichenbrand, Eindruck erwachsen (adult)";3;9;2;8
1959;1988;"Brandbestattung";"Eindruck erwachsen (adult)";3;9;3;7
1961;1991;"Brandbestattung";"Leichenbrandreste, nicht erhalten";3;9;3;6
1963;1992;"Brandbestattung";"Leichenbrand in Grube, nicht bestimmt";3;9;3;11
1964;1993;"Brandbestattung";"Leichenbrand, nicht bestimmt";3;9;3;11
1965;1994;"Brandbestattung";"Leichenbrand in Grube, nicht bestimmt";3;9;3;11
1966;1995;"Brandbestattung";"Leichenbrand in Grube";3;9;3;11
1967;1996;"Brandbestattung";"Leichenbrand in Grube, nicht bestimmt";3;9;3;11
1968;1997;"Brandbestattung";"Leichenbrand in Grube";3;9;3;11
1969;1998;"Brandbestattung";"Leichenbrand, in Grube";3;9;3;11
1970;1999;"Brandbestattung";"Leichenbrand, in Urne und Grube";3;9;3;11
1971;2000;"Brandbestattung";"Leichenbrand in Urne";3;9;3;11
1972;2001;"Brandbestattung";"Leichenbrand, in Urne und Grube, nicht bestimmt";3;9;3;11
1974;2002;"Brandbestattung";"Leichenbrand in Urne";3;9;2;11
1981;2003;"Brandbestattung";"Sicher erwachsenes, anscheinand matures, eher männliches Individuum, in Urne";3;9;3;11
1982;2004;"Brandbestattung";"Lechenbrand in Grube, erwachsen, sehr schwache Tendenz Mann";3;9;2;11
1983;2005;"Brandbestattung";"Erwachsen, sehr schwache Tendenz Frau";3;9;2;1
1984;2006;"Brandbestattung";"Leichenbrand in Grube";3;9;3;11
1985;2007;"Brandbestattung";"Leichenbrand in Grube";3;9;3;11
1987;2010;"Brandbestattung";"Eher Infans I";3;9;3;11
1988;2011;"Brandbestattung";"Unbestimmbarer Leichenbrand";3;9;3;11
1989;2012;"Brandbestattung";"Leichenbrand in Grube [nach Rassel und Miniaturgefäß wohl kindlich]";3;9;3;11
1990;2013;"Brandbestattung";"Leichenbrand in Grube und Urne [ursprünglich ausschließlich in Urne?]";3;9;3;11
1991;2014;"Brandbestattung";"Leichenbrand in Grube";3;9;3;11
1992;2015;"Brandbestattung";"Leichenbrand, wohl in Urne; eher 0-1 Jahr";3;9;3;11
1993;2016;"Brandbestattung";"Leichenbrandsplitter, unbestimmbar";3;9;3;11
1994;2017;"Brandbestattung";"Erwachsen, Mann, Körperhöhe 173 cm";3;9;3;11
1996;2018;"Brandbestattung";"Leichenbrand in Grube, sehr schwache Tendenz 0-2 Jahre";3;9;3;11
1998;2019;"Brandbestattung";"Leichenbrand in Grube; 7-40 Jahre";3;9;3;11
1999;2020;"Brandbestattung";"Leichenbrand, nicht bestimmbar";3;9;3;11
2000;2021;"Brandbestattung";"Leichenbrand, in Grube; 50-70jährig, Tendenz Frau";3;9;2;11
2001;2022;"Brandbestattung";"Leichenbrand in Grube, erwachsen";3;9;3;11
2002;2023;"Brandbestattung";"Leichenbrand in Grube und Urne [ursprünglich nur in Urne?], erwachsen";3;9;3;11
2003;2024;"Brandbestattung";"Leichenbrand in Grube, nicht bestimmt";3;9;3;11
2004;2025;"Brandbestattung";"Leichenbrand [evtl. ehemals in Schüssel?], nicht bestimmt";3;9;3;11
2005;2026;"Brandbestattung";"Leichbrand in Grube [nach Hennig evtl. ehemals in Urne], 20-40 Jahre";3;9;3;11
2006;2027;"Brandbestattung";"Leichenbrand, in Urne und Grube, 20-40 Jahre, Tendenz Frau";3;9;3;11
2007;2028;"Brandbestattung";"Leichenbrand in Grube, nicht bestimmbar";3;9;3;11
2008;2029;"Brandbestattung";"Leichenbrand in Urne, 40-60 Jahre, Tendenz Mann, sehr starke Muskelmarken";3;9;2;1
2009;2030;"Brandbestattung";"Leichenbrand, nicht bestimmt";3;9;3;11
2011;2031;"Brandbestattung";"Leichenbrand, in Grube";3;9;3;11
2013;2032;"Brandbestattung";"Leichenbrand, 1-4 Jahre";3;9;3;11
2014;2033;"Brandbestattung";"Leichenbrand, in Urne; erwachsen, sehr schwache Tendenz Frau, grazile Langknochen";3;9;1;5
2016;2034;"Brandbestattung";"Leichenbrand, eher erwachsen";3;9;3;11
2017;2035;"Brandbestattung";"Verschollener Leichenbrand";3;9;3;11
2018;2036;"Brandbestattung";"Leichenbrand, offensichtlich in Kammer durch Beraubung verstreut; nach Cipriano eher weiblich, adult; nach Röhrer-Ertl 2 Individuen: maskulin, frühadult; feminin, frühadult [hier wird Cipriano gefolgt]";3;9;3;11
2019;2037;"Brandbestattung";"Spätadult-frühmatures, wahrscheinlich männliches Individuum";3;9;2;7
2020;2039;"Brandbestattung";"Leichenbrand, nach Cipriano unbestimmbar, nach Röhrer-Ertl feminin, juvenil";3;9;2;7
2021;2038;"Körperbestattung";"Nach A. Cipriano und O. Röhrer-Ertl: männlich, spätmatur";2;14;1;11
2022;2040;"Brandbestattung";"Eher männlich, erwachsen, mindestens 35";3;9;2;1
2023;2041;"Brandbestattung";"Nach Cipriano eher weiblich erwachsen, nach Röhrer-Ertl 2 Individuen: maskulin, spätadult; feminin, frühadult [hier wird Cipriano gefolgt]";3;9;3;11
2024;2042;"Skelett 1";"Maskulin, spätadult, Körpergröße 1,67 m";2;5;1;4
2024;2043;"Skelett 2";"Maskulin, frühadult, Körpergröße 1,73 m";2;13;1;8
2025;2044;"Individuum 1";"Individuum im Zentrum der Kammer, nach Hohlwulstringen wohl weiblich, auf jeden Fall erwachsen";2;13;3;1
2025;2045;"Individuum 2";"Schädelreste eines männlichen, erwachsenen Individuums";2;9;3;4
2026;2046;"Brandbestattung";"Leichenbrandstreuung, nach Cipriano eher weiblich, erwachsen, nach Röhrer-Ertl feminin, frühadult [Cipriano hier gefolgt]";3;9;3;7
2027;2047;"LB 1";"Nach A. Cipriano eher männlich, matur; nach Röhrer-Ertl 2 Individuen: maskulin, frühmatur; feminin, juvenil [hier Cipriano gefolgt]";3;9;2;8
2028;2048;"Skelett 1";"Maskulin, spätadult";2;13;1;8
2029;2049;"Skelett 2";"Maskulin, spätadult";2;13;1;1
2030;2050;"LB 2";"Nach A. Cipriano eher männlich, matur; nach Röhrer-Ertl 2 Individuen: maskulin, frühadult; feminin, frühadult [hier Cipriano gefolgt]";3;9;2;1
2032;2051;"Brandbestattung";"Nach Cipriano 3 Leichenbrandvorkommen kompatibel: eher männlich, erwachsen";3;9;3;8
2033;2052;"Brandbestattung";"Leichenbrand in Mitte, nach Cipriano eher weiblich, erwachsen; nach Röhrer-Ertl feminin, frühadult";3;9;3;1
2034;2053;"Brandbestattung";"Leichenbrand im S und N, nach Cipriano 1 oder 2 Individuen,unbestimmbar, nach Röhrer-Ertl 2 Individuen: feminin, frühadult, infans II";3;9;3;6
2035;2054;"Brandbestattung";"Nach Cipriano erwachsenes Individuum, nach Röhrer-Ertl 2: maskulin, frühadult; feminin, frühadult";3;9;3;11
2036;2055;"Brandbestattung";"Nach Cipriano eher männlich, erwachsen; nach Röhrer-Ertl 2 Individuen: maskulin, frühadult; feminin, juvenil";3;9;3;11
2037;2056;"Brandbestattung";"Nach Cipriano eher männlich, erwachsen; nach Röhrer-Ertl 2 Individuen: maskulin, frühadult; fiminin, frühadult";3;9;3;8
2038;2057;"Brandbestattung";"Nach Cipriano eher männlich, erwachsen; nach Röhrer-Ertl 2 Individuen: maskulin, spätadult; feminin, juvenil; Leichenbrand in Urne, wenig offensichtlich auch außerhalb";3;9;2;11
2039;2058;"Brandbestattung";"Nach Röhrer-Ertl adultes Individuum";3;9;2;11
2040;2059;"Brandbestattung I";"Nach Röhrer-Ertl 2 Individuen: maskulin, frühadult; feminin, juvenil";3;9;3;11
2040;2060;"Brandbestattung II";"Nach Röhrer-Ertl 2 Individuen: maskulin, frühadult; feminin, juvenil";3;9;3;11
2041;2061;"Brandbestattung I";"Nach Röhrer-Ertl 2 Individuen: maskulin, frühadult; feminin, frühadult";3;9;2;11
2041;2062;"Brandbestattung II";"Nach Röhrer-Ertl 2 Individuen: maskulin, frühadult; feminin, frühadult";3;9;2;11
2042;2063;"Brandbestattung I";"Nach Röhrer-Ertl 2 Individuen: maskulin, frühadult; feminin, frühadult";3;9;3;11
2042;2064;"Brandbestattung II";"Nach Röhrer-Ertl 2 Individuen: maskulin, frühadult; feminin, frühadult";3;9;3;11
2043;2065;"Brandbestattung I";"Nach Röhrer-Ertl 2 Individuen: feminin, juvenil; infans II";3;9;2;11
2043;2066;"Brandbestattung II";"Nach Röhrer-Ertl 2 Individuen: feminin, juvenil; infans II";3;9;2;11
2045;2067;"Brandbestattung";"Leichenbrand, in 2 Häufchen niedergelegt; insgesamt 3 Bestimmungen, hier Cipriano gefolgt [obwohl die Leichenbrandmenge für nur 1 Individuum definitiv zu hoch erscheint; Untersuchung 1947 erbrachte 3 Individuen, Röhrer-Ertl fand 4]";3;9;2;9
2047;2068;"Brandbestattung";"Juvenil/adult, eher weiblich";3;9;3;11
2049;2069;"Brandbestattung";"Leichenbrand, nach Cipriano erwachsen, eher weiblich; nach Röhrer-Ertl feminin, frühadult";3;9;3;11
2051;2070;"Brandbestattung";"Wenig Leichenbrand, nicht bestimmbar";3;9;3;1
2052;2071;"Brandbestattung";"Nach Röhrer-Ertl maskulin, frühadult";3;9;3;11
2053;2072;"Brandbestattung";"Leichenbrand, über Kammer verstreut, derzeit nicht auffindbar";3;9;3;5
2054;2073;"Brandbestattung";"Leichenbrand";3;9;2;11
2055;2074;"Brandbestattung";"Leichenbrand";3;9;2;11
2056;2075;"Brandbestattung";"Unbestimmter Leichenbrand";3;9;3;11
2057;2076;"Brandbestattung";"Sicher kein kleines Kind, Eindruck juvenil/adult";3;9;3;11
2058;2077;"Brandbestattung";"Unbestimmter Leichenbrand";3;9;2;11
2059;2078;"Brandbestattung";"Unbestimmter Leichenbrand";3;9;2;11
2060;2079;"Brandbestattung";"Leichenbrand, wohl in Urne";3;9;2;11
2061;2080;"Brandbestattung";"Unbestimmter Leichenbrand";3;9;2;11
2062;2081;"Brandbestattung";"Unbestimmter Leichenbrand";3;9;2;11
2063;2082;"Brandbestattung";"Unbestimmter Leichenbrand";3;9;2;11
2064;2083;"Brandbestattung";"Leichenbrand in Urne";3;9;2;11
2065;2084;"Brandbestattung";"Kein kleines Kind";3;9;3;11
2067;2085;"Brandbestattung";"Unbestimmter Leichenbrand";3;9;3;11
2068;2086;"Brandbestattung";"Wenig Leichenbrand, nach Schröter unbestimmbar, nach Röhrer-Ertl maskulin, frühadult bzw. Infans I [hier nicht berücksichtigt]";3;9;3;1
2070;2087;"Brandbestattung";"3 Leichenbrandhäufchen; nach Schröter männlich, adult; nach Röhrer-Ertl 3 Individuen: maskulin, spätadult; feminin, frühadult; infans I";3;9;1;1
2071;2088;"Körperbestattung";"Lediglich Schläfenbein erhalten; erwachsen, eher männlich";2;9;3;11
2072;2089;"Brandbestattung";"Leichenbrand, über Grabsohle verstreut; erwachsen (adult)";3;9;2;11
2073;2090;"Brandbestattung";"Leichenbrand, um Radreifen in 3 Gruppen verstreut; nach Schröter junger Erwachsener, eher weiblich; nach Röhrer-Ertl maskulin, 20jährig";3;9;3;9
2076;2091;"Brandbestattung";"Weite Leichenbrandstreuung im NW [wohl durch Pflug verzogen]; nach Schröter jünger erwachsen, eher weiblich; nach Röhrer-Ertl maskulin, 16-18jährig";3;9;3;9
2080;2092;"Körperbestattung";"Maskulin, spätadult; starke Abnutzung der oberen Gelenkfläche";2;9;3;11
2081;2093;"Brandbestattung";"Leichenbrand, Eindruck juvenil/adult";3;9;3;11
2084;2094;"Leichenbrand";"Wenig Leichenbrand im ö Bereich der Mitte, in Holzkohlenschicht";3;9;3;1
2085;2095;"Brandbestattung";"Verstreuter Leichenbrand";3;9;3;1
