"Katalognummer";"Fundplatznummer";"Fundplatzcharakter";"Fundplatzbeschreibung";"X";"Y";"Lokalitätsnummer";"Gemarkung";"Flurname";"Hügelzahl";"Publikationsqualität";"Objektlokalisation";"Ältere_Hallstattzeit";"Jüngere_Hallstattzeit";"Neolithikum";"Bronzezeit";"Urnenfelderzeit";"Latènezeit";"Römische_Kaiserzeit";"Frühmittelalter";"Mittelalter";"Neuzeit"
1070;3020;1;"Großes Gräberfeld mit hunderten von Grabhügeln, sw von Mengen, auf Fläche von 500 x 250 m; im Luftbild sind Kreisgräben und rechteckige Einfriedungen kenntlich; Grabung 1998 (2 Hügel)";3523000;5322000;1711;;"'Zapfenbildäcker', 'Am mittleren Weg', 'Etzenbrühl'";200;2;1;0;1;0;0;0;0;0;0;0;0
1071;2643;1;"Gruppe von mehr als 10 Hügeln (angeblich ehemals 40), 800 m sw von Schloß Tunzenberg; Grabungen vor 1812, u. a. wohl Hallstattschwert";3755000;5404000;2168;"Tunzenberg";;40;3;1;1;0;0;0;0;0;0;0;0;0
1072;3081;3;"Körperbestattung, 1100 m w von Ort; 1944 zerstört";3401000;5321000;1713;;"'Breisacher Weg'";;3;1;0;0;0;0;0;0;0;0;0;0
1073;2309;1;"Körpergräber, beim Kalkwerk 1300 m sw von Ort; 1939 planlose Aufdeckung von römischen und hallstattzeitlichen Gräbern; Lit.: Bad. Fundber. 16, 1940, 18";3401000;5320000;1713;;"'Oberhinterfeld'";;3;1;1;0;0;0;0;0;1;0;0;0
1074;3080;3;"Körperbestattung, 1100 m nö von Kirche von Ort; Ausgrabung 1954/55 durch LDA; Grabgrube zwischen 2 hallstattzeitlichen Kreisgräben von 24 bzw. 38 m Dm.; vor allem frühmittelalterliche Bestattungen";3403000;5321000;1713;;"'Schönberg'";;1;1;1;0;0;0;0;0;0;1;0;0
1075;3100;1;"Gruppe von 2-4 Hügeln, etwas ö der Gruppe im 'Straßenhau'; Grabung des LDA 1949 (2 Hügel) [keine verwertbare Dokumentation]; zwischen 2 Hügeln führt römische Straße hindurch";3507000;5324000;748;"Langenhart";"'Benisgärten'";3;3;1;0;0;0;0;0;0;0;0;0;0
1076;719;1;"Gruppe von 7 Hügeln, sw von Ort; Grabungen 1856/57, 1874 von v. Mayenfisch (4 Hügel); hallstattzeitliche und wohl nachrömische Funde";3512000;5317000;748;"Ringgenbach";;7;3;0;0;1;0;0;0;0;0;1;0;0
1077;2307;2;"Grabhügel, zwischen Engelswies und Rohrdorf (in Literatur auch unter 'Distrikt Haggenberg' und 'Engelswies' geführt); Grabung 1856; evtl. Reste eines Wagengrabes";3508000;5322000;748;"Rohrdorf";"Wald 'Hackenberg'";1;3;1;0;1;0;0;0;0;0;0;0;0
1078;702;2;"Grabhügel, ""unweit Hossingen neben dem Verbindungsweg Hossingen-Meßstetten; Grabung 1867 von Pfarrer Ötinger";3495000;5339000;650;"Hossingen";;;3;0;0;1;0;0;0;0;0;0;0;0
1079;516;1;"Gruppe von mindestens 6 Hügeln, 1500 m ö von Ort; Grabungen um 1850 und 1866/67 von Pfarrer Oetinger, 1880 von Badmer (1 Hügel); bronze-, uk-, HaC, HaD1, HaD3- und latènezeitliche Funde: Lit.: Schr. Württ. Altver. II 1, 1869, 43ff.";3496000;5339000;650;"Hossingen";"'Wangen'";6;3;1;1;1;0;1;1;1;0;0;0;0
1080;794;1;"Gruppe von 72 Hügeln, 1900 m wnw der Kriche von Lettenreuth; zahlreiche Hügel bereits im 19. Jh. angetrichtert; Grabungen 1935 von Hock, Lesefunde 1977/78 + 1987/88; HaC-D-Funde";3652000;5563000;793;"Lettenreuth";"'In der Solzen'";72;3;1;1;1;0;0;0;0;0;0;0;0
1081;943;2;"Grabhügel, 650 m ssö von Ort, am Westufer des Bieberbachs; untersucht 1949; HaC";3652000;5562000;793;"Neuensee";;1;3;1;1;0;0;0;0;0;0;0;0;0
1082;942;1;"Gruppe von ehemals mindestens 10 Hügeln, 600 m sö von Ortsmitte; vollständig zerstört; Nachuntersuchungen in 1. Hälfte 20. Jh.; HaC-D [Zusammenfassung der Grabungsergebnisse bei Radunz und Gerdsen]";3652000;5562000;793;"Neuensee";"'Roter Hügel' ('Rother Hügel')";10;3;1;1;1;0;0;0;0;0;0;0;0
1083;1680;1;"Gruppe von 19 Grabhügeln, im Bereich des Bahnhofs und beiderseits der Bahnlinie; 1829, 1909, 1910, 1923, 1950 und 1955 wurden an 15 Hügeln Grabungen vorgenommen; Literatur: OA LfD. - Bodendenkmäler in Bayern (1977) 631. - Ohlenschlager, Fr., Verzeichnis d";3612000;5324000;1172;;"'Galgenäcker'";19;2;1;1;1;0;0;0;0;0;0;0;0
1084;1679;1;"Gruppe von 249 Hügeln, 800 m nö der Klosterkirche von Lohhof; z. T. sind die Hügel verebnet. Diverse Grabungen; Lesefunde: Hallstattzeitliche Keramik, ein Tonnenarmband. 1984 von K.H. Henning Lesefunde aus verschiedenen Hügeln; Luftbild: 19.02.85, 7928/18";3611000;5330000;1172;"Nassenbeuren";"'In den Leyren', 'Schwedenhügel'";249;3;1;1;1;0;0;0;0;0;0;0;0
1085;2248;1;"Gruppe von ehemals zahlreichen Hügeln (angeblich bis zu 200), ca. 500 m sw von Ort und 1600 m sö von Mangolding; Lesefunde 1863 oder 1864 und 1956; bronze, uk-, hallstatt- und latènezeitliche Funde";3737000;5427000;1415;"Aukofen";"'Etz'";200;3;1;0;1;0;1;1;1;0;0;0;0
1086;2993;1;"Gräberfeld, 300 m s der Hochterrassenkante; hauptsächlich uk-zeitliche Bestattungen, aber auch hallstattzeitliche und frühlatènezeitliche Gräber";3741000;5425000;1415;"Sengkofen";;;3;1;0;0;0;0;1;0;0;0;0;0
1087;847;1;"Gruppe von ehemals etwa 17 Hügeln, 1500 m sw der Kirche des Ortes + 300 m w des Bahnhofs Pittersdorf; Untersuchungen zwischen 1740 und 1763, vor 1829, 1848, 1885; heute vollständig verschwunden; HaC-D";3680000;5532000;813;;"'Wachholderanger'";17;3;1;1;1;0;0;0;0;0;0;0;0
1088;770;1;"Gruppe von 50-100 Hügeln, 900 m s der Kirche des Ortes; erste Ausgrabungen 1788, im 19. + 20. Jh. zahlreiche weitere, u. a. 1989, bei der 3 Hügel + 8 Urnengräber (HaC-HaD) freigelegt wurden, Lesefunde 1991, 1992, 1995, weitere Grabung 1995-1996 (5 Hügel; ";3677000;5533000;777;;"'Spiegelleite' ('Spiegelanger', 'Gewend')";75;2;1;1;1;0;1;0;1;0;0;0;0
1089;764;1;"Gräberfeld, zwischen Obernsees + Schönfeld; Lesefunde unbekannten Datums, die auf zerstörtes Gräberfeld hindeuten, oberflächliche Nachgrabungen in 2 Hügeln 1940; HaC-D";3670000;5535000;777;"Obernsees";"'Knock'";;3;0;1;1;0;0;0;0;0;0;0;0
1090;1762;2;"Einzelner Grabhügel auf dem Schloßbuck 1225 m nw der Kirche von Ort; Grabung 1965 durch P. Sessler; neben neolithischen, urnenfelderzeitlichen, mittelalterlichen + neuzeitlichen Befunden auch verschleifte Funde aus hallstattzeitlichen Gräbern";3630000;5455000;1218;;"Schloßbuck";1;3;1;0;0;0;1;0;1;0;0;0;0
1091;2775;1;"Grabhügelgruppe, an der B2; 1 Hügel 1904 zerstört; HaD-Funde";3657000;5347000;2030;"Längenmoos";"'Großes Holz'";;3;1;0;1;0;0;0;0;0;0;0;0
1092;658;1;"Grabhügel, in der Umgebung von Gut Gollenhof; wohl Grabhügelfeld im Wald 'Stöckach', 2300 m n von Ort; entdeckt 1848";3571000;5412000;697;;"Wald 'Stöckach'";;3;1;1;1;0;0;0;0;0;0;0;0
1093;1399;3;"Brandgrab, 500 m nw der Kirche von Ort; Auffindung 1911/12 beim Bahnbau. Grabungen 1951 und 1980 [bei Koch nichts entsprechendes erwähnt]";3506000;5526000;1020;;"'Hollerstrauch', 'Im Falter' u.a.";;3;1;0;0;0;0;0;0;0;0;0;0
1094;1400;1;"Gruppe von mindestens 12 Hügeln, 1600 m nö der Kirche von Mömlingen; Grabung Haxthausen 1898 (1 Hügel); daraus auch Funde der Schnurkeramik und der Latènezeit; Dm. 6-11 m, H. 0,4-0,6 m";3507000;5526000;1020;;"Waldabt. 'Scherder'";12;3;1;1;0;1;0;0;1;0;0;0;0
1095;1605;1;"Gruppe von etwa 10 Grabhügeln, 1750 m w der Pfarrkirche von Ort; 1926, beim Abtragen eines Hügels zwecks Steingewinnung, waren Waldarbeiter auf eine Bestattung gestoßen. Daraufhin untersuchte Frickhinger den Hügel zu Ende. Er barg 2 Brand- und 3 Körperbes";3615000;5405000;1130;;"'Kühberg'";;3;1;0;1;0;1;0;0;0;0;0;0
1096;1606;1;"Gruppe von etwa 40 Hügeln, 2500 m wsw der Pfarrkirche von Ort (in Literatur auch unter 'Fürstenweg' geführt); die Grabhügel verteilen sich in 3 Untergruppen auf die Waldabteilungen Eierbühl, Birkleshau und östl. Zinngrün. 1925 untersuchte E. Frickhinger 2";3614000;5404000;1130;;"'Plossen' ('Blossen', 'Fürstenweg')";40;3;1;0;1;0;0;0;0;0;0;0;0
1097;1607;3;"Brandgrab, 900 m w-wnw der Kirche von Ort; als G. Beck beim Sandgraben 1927 auf eine Tonurne stieß, ließ er E. Frickhinger verständigen, der eine Untersuchung vornahm. Festgestellt wurde eine Brandbestattung mit Gefäßen und einem Mahlstein, evtl. von eine";3615000;5403000;1130;"Untermagerbein";"'Bubland' [evtl. auch 'Rubland'? so bei Kurz]";;3;1;0;0;0;0;0;0;0;0;0;0
1098;1604;4;"Vielleicht verebneter Grabhügel, 1300 m n-nnw der Klosterkirche von Mönchsdeggingen; F. Krippner barg 1985 hallstattzeitliche Scherben und Glied einer bronzenen Pferdetrense, L. 7,1 cm. Die Funde legen den Verdacht auf einen verebneten Grabhügel nahe; Lit";3617000;5407000;1130;"Ziswingen";"'Hochäcker'";;3;1;0;0;0;0;0;0;0;0;0;0
1099;3051;1;"Gruppe von 15 Hügeln, 1000 m wnw der Kirche von Ort; ältere Grabungsspuren, Raubgrabung 1987 (3 Hügel) mit Nachuntersuchung des LfD [jedoch ohne verwertbare Ergebnisse; Keramik wohl HaC-zeitlich]";3633000;5411000;1131;"Itzing";"'Rochusholz', 'Seilermähdle'";15;1;1;1;0;0;0;0;0;0;0;0;0
1100;1608;1;"Gruppe von 31 Hügeln, 2000 m wsw der Kirche von Ort; 14 der Grabhügel weisen alte Grabungsspuren auf. 1969 wurden beim Bau eines Holzabfuhrweges 5 Hügel beschädigt bis zerstört. Nach alten Angaben sollen aus den Hügeln Steingeräte und -waffen, ein Spinnwi";3638000;5415000;1131;"Wittesheim";"'Mahdschlag'";31;3;1;0;0;0;0;0;0;0;0;0;0
1101;2767;1;"Gruppe von ehemals 200 Hügeln, sö von Ort; Grabung 1878 von Mittermaier (3 Hügel), 1907 von Wenzl (1 Hügel)";3715000;5374000;2023;"Niederambach";"'Stocket'";200;3;1;0;0;0;0;0;0;0;0;0;0
1102;2960;1;"Wohl verschleifte Grabhügel, ca. 600-650 m wnw von Blindmühl; Lesefunde um 1980, auch solche der Bronzezeit, im Bereich eines im Luftbild erkennbaren Grabhügelfeldes";3793000;5407000;2124;"Langenisarhofen";"'Im Anger'";;3;1;0;0;0;1;0;0;0;0;0;0
1103;2959;4;"Wohl verschleifte Grabhügel, ca. 1300 m ö der Kapelle St. Johann in Ort und ca. 300-600 m nnw von Blindmühl; Lesefund um 1980 nahe einem im Luftbild belegten Grabhügelfeld";3793000;5408000;2124;"Langenisarhofen";"'Mittlere Hart'";;3;1;0;0;0;0;0;0;0;0;0;0
1104;2896;1;"Grabhügelgruppe, nicht mehr lokalisierbar (nahe Buchberg bei Lengthal); daraus angeblich hallstattzeitliche Keramik";3754000;5399000;2093;"Lengthal";;;3;0;0;0;0;0;0;0;0;0;0;0
1105;728;1;"Mehrere Grabhügel, 700 m nw von Ort, zwischen Ort und Sebastiansweiler; Grabungen um 1830, 1894 von Dorn (2 Hügel), MIller";3502000;5362000;666;"Belsen";;;3;1;0;1;0;0;0;0;0;0;0;0
1106;1609;2;"Wohl verebneter Grabhügel, 1200 m s-ssw von Schloß Lierheim; 1979 fand H. Thum ein hallstattzeitliches Bronzeschwert vom Typ Mindelheim. An der Fundstelle, die von G. Krahe begangen wurde, befindet sich eine kleine langgestreckte Bodenerhebung; Literatur:";3618000;5408000;1132;;"'Bautenbachäcker'";;3;1;1;0;0;0;0;0;0;0;0;0
1107;1610;3;"Brandgrab, ca. 2100 m nö der Kirche von Ort; F. Krippner barg 1991 die Überreste eines hallstattzeitlichen Brandgrabes (Bodenverfärbung mit Leichenbrand und Keramik) und in der Umgebung Silices und weitere hallstattzeitliche Keramikscherben; Literatur: OA";3619000;5412000;1132;"Appetshofen";"'Sandäcker'";;3;1;0;0;0;0;0;0;0;0;0;0
1108;1611;2;"Wohl verebneter Grabhügel, 800 m ssö der Kirche von Kleinsorheim; Lesefunde von F. Krippner 1980; Literatur: OA LfD";3619000;5406000;1132;"Kleinsorheim";"'Diecken'";;3;1;0;0;0;0;0;0;0;0;0;0
1109;554;2;"Wohl verschleifter Grabhügel, 1500 m sö; Lesefunde 1933";3491000;5426000;711;"Lienzingen";"Waldabt. 'Herzogswäldle'";;3;1;0;1;0;0;0;0;0;0;0;0
1110;665;1;"Gruppe von 12 Hügeln, in der Mitte zwischen Lienzingen und Mühlacker, 2000 m nö von Mühlacker; Grabung von v. Föhr 1885 in 2 Hügeln und des LDA 1964-67 in 11 Hügeln; gegraben wurde jeweils Zentrum großflächig, jedoch nicht der Bereich zwischen den Hügeln";3490000;5425000;711;"Mühlacker, Lienzingen";"'Heidenwäldle', 'Trinkwald'";12;1;1;0;1;0;0;0;0;0;0;0;0
1111;2272;1;"Gruppe von mindestens 25 Hügeln, 1500 m ssö von Ort; Grabung 1903 von Wagner in 5 Hügeln";3481000;5455000;1725;;"Wald 'Schleeberg'";25;3;1;0;0;0;0;0;0;0;0;0;0
1112;3012;4;"Wohl Grabfund; Lesefunde von Keramik 1956 bei Baumaßnahmen";3490000;5320000;2154;"Stetten a. d. Donau";;;3;1;0;0;0;0;0;0;0;0;0;0
1113;2271;3;"Körpergrab, entdeckt 1951 im Ortsgebiet beim Neubau eines Hauses; HaD1";3397000;5298000;1726;;"'Wehrgasse'";;3;1;0;1;0;0;0;0;0;0;0;0
1114;3004;1;"Gruppe von ehemals wohl mindestens 4 Hügeln (gezielte Suchschnitte erbrachten keine Hinweise auf weitere Gräber), auf einem langgestreckten, N-S-verlaufenden Höhenrücken; Grabung 1985 (4 Hügel); Nachbestattungen offensichtlich kreisförmig um Zentrum herum";3399000;5300000;1726;"Dattingen";"'Himmelstiege'";4;1;1;1;1;0;0;0;0;0;0;0;0
1115;2800;1;"Gruppe von ca. 30 Hügeln, w von Ort, n der Bahnlinie; Grabung 1909 von Fr. Weber (6 Hügel); HaC-Funde, auch bronzezeitliche";3684000;5343000;2044;"Ludwigsfeld, Allach";"'Allacher Forst' (ehem. 'Ludwigsfelder Moos', 'Schrederbächlstraße')";30;3;1;1;0;0;1;0;0;0;0;0;0
1116;2801;1;"Gruppe von ehemals etwa 30 Hügeln, nnö von Ort, w von Eggarten; Grabungen 1939 vom LfD in mehreren Hügeln (in Hügel 8 Eisenschwert)";3688000;5342000;2044;"Moosach";"'Fasanerie'";30;3;1;1;0;0;0;0;0;0;0;0;0
1117;2802;1;"Gruppe von 4 Hügeln,, nnw von Gronsdorf; 1936/37 bei Anlage des Flugplatzes Riem Zerstörung von 4 [nach Schefzik 2] Hügeln, Untersuchung vom LfD [Hügel bereits weitgehend zerstört, keine auswertbaren Befunde vorgelegt, lediglich die Keramik]; HaC-Funde";3701000;5335000;2044;"Riem";"'Salmdorfer Feld', 'Gronsdorfer Feld'";4;2;1;1;0;0;0;0;0;0;0;0;0
1118;2803;1;"Gruppe von 4 Hügeln, 400 m n der Bahnstation Solln; Raubgrabung 1928, Grabung 1934 der Staatsslg. München in allen Hügeln; HaC-Funde";3688000;5331000;2044;"Thalkirchen";"'Wolfratshauserstr. 80a'";4;3;1;1;0;0;0;0;0;0;0;0;0
1119;3047;1;"Stark zerstörtes Gräberfeld, 400 m onö der Kirche von Kirchtrudering, bei Baumaßnahmen 1999 entdeckt, weitere Grabung 2000; u. a. Kammergrab, reiche Beigaben (u. a. UK-Schwert mit Ha-Ortband), dneben mehrere kleinere und größere Kreisgräben; auch mittelbr";3699000;5336000;2044;"Trudering";"'Am Mitterfeld' ('Truchthari-Anger')";;3;1;1;0;0;1;1;0;0;0;0;0
1120;1293;1;"Gruppe verebneter Hügel, 1850 m nnö der Kirche von Großwenkheim; Auffindung Arch. Arbeitsgr. Rhön-Grabfeld 1998, Ausgr.1998 (1 Hügel); Schachtgrab vom Typ Großeibstadt; daraus auch Funde der Urnenfelderzeit";3594000;5572000;991;"Großwenkheim";"'Klettenweg'";;2;1;1;0;0;0;1;0;0;0;0;0
1121;1290;1;"Gruppe von 37 Hügeln, 1900 m nö der Kirche von Großwenkheim; Ausgrabung von 3 Hügel von F. J.Schmitt 1944; daraus Funde der Bronzezeit und der älteren Hallstattzeit; Dm. 8-25 m, H. 0,3-22 m";3595000;5571000;991;"Großwenkheim";"Waldabt. 'Osterfeld', 'Weidlesgrund' ('Reuwerszagelholz')";37;3;1;1;0;0;1;0;0;0;0;0;0
1122;2406;2;"Ehemaliger Grabhügel, nahe dem Rindhof; Grabung um 1870 von Altefeld; Funde der älteren Hallstattzeit (Eisenschwert)";3593000;5572000;991;"Kleinwenkheim";"'Dreispitzacker'";1;3;0;1;0;0;0;0;0;0;0;0;0
1123;3056;1;"Gruppe von 44 Hügeln, 1350 m sw der Kirche von Ort, erstrecken sich über 400 m auf sanfter Anhöhe; viele Hügel alt angetrichtert; Notbergung der Kammer eines Hügels 1999 (u. a. mit Drillingsgefäß); Dm. 3-20 m, H. 0,3-1,8 m";3594000;5566000;991;"Seubrigshausen";"Waldabt. 'Heiger' ('Heigen', 'Kohlholz')";44;3;1;1;0;0;0;0;0;0;0;0;0
1124;2883;1;"Gruppe von 5-6 Hügeln, zwischen Buchseehof und Münsing [Lokalisation etwas ungenau]; Grabungen 1907/1908 von Fr. Weber (3 Hügel)";3677000;5311000;2085;;;6;3;1;0;1;0;0;0;0;0;0;0;0
1125;2930;2;"Grabhügel, s von Ort, s des alten Holzhausener Marktweges [Lokalisation etwas ungenau]; Grabung 1958 von Titze";3677000;5309000;2085;;"'Am Holzhausener Marktweg'";;3;1;1;0;0;0;0;0;0;0;0;0
1126;2881;1;"Gruppe von 20 Hügeln, nnw von Ort; Grabungen 1907/1908 von Fr. Weber (8 Hügel)";3677000;5311000;2085;;"'Münsinger Feld'";20;3;1;1;0;0;0;0;0;0;0;0;0
1127;2882;1;"Gruppe von 37 Hügeln, ö vom Buchsee; Grabungen 1907/1908 von Fr. Weber (3 Hügel)";3678000;5312000;2085;"Buchsee";;37;3;1;0;0;0;0;0;0;0;0;0;0
1128;2270;1;"Gruppe von 2 Hügeln, 1000 m w von Ort; Grabungen 1894 von Dorn; u. a. Eisenschwert";3536000;5364000;730;;"'Wiesthal' ('Untere gerechtsame Wiesen')";2;3;1;1;0;0;0;0;0;0;0;0;0
1129;2703;1;"Gruppe von 4 Hügeln, 1700 m nö von Ort; Grabungen in allen Hügeln 1904 von Sautter; bronzezeitliche Hügel, mit einer (wohl HaC-) Nachbestattung";3539000;5365000;730;"Auingen";"'Dempfel'";4;3;1;1;0;0;0;0;0;0;0;0;0
1130;716;2;"Mehrere Grabhügel, s bis sw von Ort gelegen; Grabung 1901 von Sautter; evtl. hallstattzeitlich";3537000;5355000;730;"Bichishausen";;1;3;0;0;0;0;0;0;0;0;0;0;0
1131;574;1;"Gruppe von ehemals mindestens 6 Hügeln, ca. 2000 m nö von Ort; Grabungen 1853 von Paulus, 1893 von Dorn und von der Altertümersammlung Stuttgart in je einem Hügel, 1897 von Witscher und 1902 von Hauptmann v. Haldenwang und Hauptmann Stählin";3542000;5365000;730;"Böttingen";"'Höhne', 'Blachen'";6;3;1;1;1;0;0;0;0;0;0;0;0
1132;575;1;"Mehrere Grabhügel, 2500 m nnö von Ort, s und ö der Ludwigshöhe; Grabungen 1893 von Dorn, 1895 von Wunderlich (2 Hügel)";3541000;5367000;730;"Böttingen";"'Ludwigshöhe'";;3;1;0;1;0;0;0;0;0;0;0;0
1133;717;2;"Grabhügel, 4500 m nö von Ort, am ö Fuß des Berges; Grabung 1895 von Wunderlich";3544000;5367000;730;"Böttingen";"'Schottenstein'";;3;1;1;1;0;0;0;0;0;0;0;0
1134;576;2;"Grabhügel, am Fahrweg nach Bichishausen; Grabung 1824 von Paulus; wohl bronzezeitlicher Hügel mit Ha-Nachbestattung";3539000;5356000;730;"Bremelau";"'Lange Heckäcker'";;3;0;0;1;0;1;0;0;0;0;0;0
1135;577;2;"Grabhügel, 1000 m ssw von Ort; Grabung 1905 von Sautter";3540000;5355000;730;"Bremelau";"'Mönchbuch'";1;3;1;0;0;0;0;0;0;0;0;0;0
1136;578;1;"Gruppe von 4 Hügeln, 2000 m nnw von Ort; Grabung 1904 von Sautter; 3 Hügel bronze-, einer hallstattzeitlich";3539000;5359000;730;"Bremelau";"'Oberlau'";4;3;1;1;1;0;1;0;0;0;0;0;0
1137;2704;1;"Gruppe von 4 Hügeln, 2500 m n von Ort; Grabumg 1907 von Sautter; bronzezeitliche Hügel, mit angeblich 2 hallstattzeitlichen Nachbestattungen";3535000;5361000;730;"Buttenhausen";"'Schmiedeösch'";4;3;1;0;0;0;1;0;0;0;0;0;0
1138;718;1;"Gruppe von 34 Hügeln, ca. 1000 m s von Ort; Grabungen in fast allen Hügeln von Sautter 1901 und 1902; Körper- und Brandbestattungen, teilweise mit Scheiterhaufenresten [trotz der Bemühungen von Wörner Befundsituation letztendlich nicht vernünftig auswertb";3532000;5364000;730;"Dottingen";"'Glindwald', 'Boppental', 'Bruhwäldle'";34;2;1;1;1;0;0;1;1;0;0;0;0
1139;2269;1;"Gruppe von 6 Hügeln, 2500 m nw von Ort, dicht s (5 Hügel) bzw. w (1 Hügel) vom Gut Fladhof; Grabungen von Sautter 1907; auch uk-zeitliche Funde";3534000;5357000;730;"Hundersingen";"'Geltelfingen' ('Göltelfingen')";6;3;1;1;0;0;0;1;0;0;0;0;0
1140;3045;1;"Gruppe von Hügeln, ö von Ort; Grabung 1902 von Sautter (4 Hügel); auch bronzezeitliche Funde";3538000;5356000;730;"Hundersingen";"'Häulen'";;3;0;0;0;0;1;0;0;0;0;0;0
1141;579;1;"Gruppe von Hügeln, 1500 w von Ort [von Kurz irrtümlich mit Hügeln in Flur 'Häulen' zusammengeworfen (s. Oberamtsbeschreibungen Münsingen)]; Grabungen von Sautter 1902; hauptsächlich bronze-, aber auch hallstattzeitliche Funde";3535000;5356000;730;"Hundersingen";"'Heidle' ('Haidle')";;3;1;0;0;0;1;0;0;0;0;0;0
1142;2705;2;"Grabhügel, 700 m sw von Ort; Grabung 1900 von Sautter; bronzezeitlicher Hügel mit hallstattzeitlicher Nachbestattung";3536000;5356000;730;"Hundersingen";"'Herrenbreite'";;3;1;0;0;0;1;0;0;0;0;0;0
1143;2706;1;"Gruppe von Hügeln, 1800 m onö; bronzezeitliche Hügel, einer mit hallstattzeitlicher Nachbestattung";3538000;5367000;730;"Trailfingen";"'Riedern'";;3;1;0;0;0;1;0;0;0;0;0;0
1144;2884;1;"Gruppe von 3 Hügeln, nnw von Ort, am Rande eines Hochmoores, 650 m sw der Kapelle St. Coloman; 2 Hügel durch Wegebau 1957 zerstört, vom LfD nachuntersucht; HaD-Funde";3676000;5312000;2085;"Weipertshausen";;3;3;1;0;1;0;0;0;0;0;0;0;0
1145;552;1;"Mehrere Grabhügel, 2000 m sw von Ort; Grabungen in 2 Hügeln";3478000;5372000;707;"Hochdorf";"'Bahnbühl'";;3;1;0;1;0;0;0;0;0;0;0;0
1146;667;1;"Gruppe von 12 Hügeln, n von Ort; Grabungen 1893 von Kapff und 1906 (und evtl. 1907) von Gaus";3592000;5399000;717;;"Wald 'Buchen'";12;3;1;1;1;0;0;0;0;0;0;0;0
1147;2236;1;"Gruppe von 6 Hügeln, n von Ort; Grabungen 1903/04 von Gaus [evtl. die Grabung im Wald 'Buchen' von 1907 auch hierher gehörend]";3591000;5399000;717;;"Wald 'Buchen', Abt. 'Schleimteich'";6;3;1;0;0;0;0;0;0;0;0;0;0
1148;2235;1;"Gruppe von 2 Hügeln, 1200 m sw von Ort; Grabung 1911 von Präparator Eckert";3505000;5472000;1736;"Guttenbach";"Wald 'Neckarhalde'";2;3;1;0;0;0;0;0;0;0;0;0;0
1149;2686;1;"Wohl ehemalige Grabhügel, 700 m sw von Ort; Lesefunde 1932, Ausgrabung 1968 von R. Koch, dabei 9 HaC-Brandbestattungen aufgedeckt [Publikation von Ch. Jacob angeblich in Vorbereitung]";3514000;5434000;1739;;"'Bühl'";;3;1;1;0;0;0;0;0;0;0;0;0
1150;2919;1;"Gruppe von mindestens 7 Hügeln, 1400 m w von Winzerhausen; Grabungen 1976 vom LDA (1 Hügel); vielleicht hallstattzeitlich";3518000;5432000;1739;;"Wald 'Urles'";7;3;1;0;0;0;0;0;0;0;0;0;0
1151;2234;1;"Gruppe von mindestens 5 Hügeln, ca. 4500 m osö von Neckarwestheim, 1000 m ö vom Pfahlhof; etwas abseits weiterer, größerer Hügel ('Katzenbuckel', 2300 m ssö von Ilsfeld, liegt auf Gmgk. Ilsfeld); Grabungen 1840 (1 Hügel), 1887 von v. Föhr (2 Hügel)";3518000;5433000;1739;"Neckarwestheim, Ilsfeld";"Wälder 'Platte', 'Ilgenplatte'";6;3;1;0;0;0;0;0;0;0;0;0;0
1152;644;1;"Gruppe von mindestens 30 Hügeln, gegliedert in 2 deutlich voneinander abgesetzte Untergruppen, beiderseits der Eisenbahnlinie ca. 1500 m nö von Ort; Grabungen 1895 von Dorn in 13 Hügeln und 1889 von O. Pichler; bronze- und hallstattzeitliche Funde; Lit.: ";3506000;5367000;667;;"'Höhnisch' ('Heunisch'), 'Neue Wiesen'";30;3;1;0;1;0;1;0;0;0;0;0;0
1153;1863;1;"Gruppe unbestimmter Anzahl von Hügeln und Brandgrubengräbern, ca. 675 m nnw der Schwabenmühle auf der Höhe zwischen Anlauter- und Erlenbachtal, im Bereich einer Sandgrube; wohl unbekannte Anzahl von Gräbern vor Grabung von M. Frank 1950 bereits zerstört, ";3656000;5438000;1281;;"'Sandberg'";;3;1;1;0;0;0;0;0;0;0;0;0
1154;1864;1;"Gruppe von 5 Hügeln, ca. 750 m wsw von Ort; Grabungen von F. Ziegler 1892 und 1893 (4 Hügel) [Dokumentation weitgehend unbrauchbar]";3658000;5438000;1281;"Wengen";"'Acker Leitner', 'Acker Dumser', 'Acker Fellner'";5;3;1;0;1;0;0;0;0;0;0;0;0
1155;734;1;"Gruppe von 3-4 Hügeln, 2000 m nö von Ort, bei der Maria-Buch-Kapelle; Grabungen 1900 in 2 Hügeln von Hedinger und von Pfarrer Schips und Notbergung 1904; Lit.: Fundber. Schwaben 8, 1900, 61ff.";3600000;5404000;698;;;4;3;1;1;1;0;0;0;0;0;0;0;0
1156;2693;1;"Wohl mehrere Grabhügel, nicht mehr zu lokalisieren, nähere und weitere Umgebung von Neresheim";3598000;5403000;698;;"'Härdtsfeld'";;3;0;0;0;0;0;0;0;0;0;0;0
1157;2694;1;"Gruppe von etwa 12 Hügeln, 2200 m nnw von Ort; Grabungen um 1910 von Staudacher [evtl. diese Grabung tatsächlich Heidenheim-Großenkuchen, Wald 'Buch' zuzordnen], 1911, um 1930";3592000;5409000;698;"Elchingen auf dem Härtsfeld";"'Heiligenwald'";12;3;1;1;1;0;0;0;0;0;0;0;0
